time,y,segment_id,phase,trend,baseline
0,-0.5069051867119785,Control,0.0,0,0
1,3.6714818633187205,Control,0.0,0,0
2,4.6718583853055975,Control,0.0,0,0
3,4.969855580421128,Control,0.0,0,0
4,3.5604559528804094,Control,0.0,0,0
5,-0.29742582899674247,Control,0.0,0,0
6,-2.6565470042610677,Control,0.0,0,0
7,-4.932994930901895,Control,0.0,0,0
8,-5.176314438713581,Control,0.0,0,0
9,-2.5409294831656517,Control,0.0,0,0
10,0.06835303187335959,Control,0.0,0,0
11,3.5483162723496395,Control,0.0,0,0
12,4.997030772672876,Control,0.0,0,0
13,4.982220155270375,Control,0.0,0,0
14,2.163663291646807,Control,0.0,0,0
15,0.43218254102237813,Control,0.0,0,0
16,-3.086654524536812,Control,0.0,0,0
17,-4.875628197621754,Control,0.0,0,0
18,-4.8892402623484905,Control,0.0,0,0
19,-3.1871082618485467,Control,0.0,0,0
20,-0.37507710688794427,Control,0.0,0,0
21,2.5451630198652513,Control,0.0,0,0
22,4.778673445524132,Control,0.0,0,0
23,5.579074980156625,Control,0.0,0,0
24,3.157489825581958,Control,0.0,0,0
25,0.3560300236403022,Control,0.0,0,0
26,-2.2342632949176813,Control,0.0,0,0
27,-6.251051292521334,Control,0.0,0,0
28,-4.120360304079286,Control,0.0,0,0
29,-2.6898087712232,Control,0.0,0,0
30,-0.06203364839733569,Control,0.0,0,0
31,3.011755008501926,Control,0.0,0,0
32,5.84874951190352,Control,0.0,0,0
33,5.375175462316766,Control,0.0,0,0
34,3.02600051160518,Control,0.0,0,0
35,0.4314997824746465,Control,0.0,0,0
36,-2.5255976465789898,Control,0.0,0,0
37,-4.561667939297003,Control,0.0,0,0
38,-5.379059593772084,Control,0.0,0,0
39,-3.188568801857506,Control,0.0,0,0
40,-0.8923243191057891,Control,0.0,0,0
41,2.8445206039657354,Control,0.0,0,0
42,4.992152916289893,Control,0.0,0,0
43,5.014061656775835,Control,0.0,0,0
44,3.2412714940791774,Control,0.0,0,0
45,-0.0593122570550665,Control,0.0,0,0
46,-2.285568657504399,Control,0.0,0,0
47,-5.004329716081385,Control,0.0,0,0
48,-4.558416828820687,Control,0.0,0,0
49,-3.1234467655781644,Control,0.0,0,0
50,0.36471125533710136,Control,0.0,0,0
51,3.6262820061259533,Control,0.0,0,0
52,4.445979097357488,Control,0.0,0,0
53,4.695629429914845,Control,0.0,0,0
54,3.318760695601941,Control,0.0,0,0
55,0.7363053036631886,Control,0.0,0,0
56,-3.1289054348564864,Control,0.0,0,0
57,-4.6262340906964585,Control,0.0,0,0
58,-4.757437034220077,Control,0.0,0,0
59,-2.9173700045040887,Control,0.0,0,0
60,0.20802917487662384,Control,0.0,0,0
61,3.0472353769029588,Control,0.0,0,0
62,4.430599136685304,Control,0.0,0,0
63,4.077222847870403,Control,0.0,0,0
64,2.616825516227989,Control,0.0,0,0
65,-0.27447838782514905,Control,0.0,0,0
66,-2.583483812429698,Control,0.0,0,0
67,-5.133544564478238,Control,0.0,0,0
68,-6.0681962752886465,Control,0.0,0,0
69,-3.091361663840699,Control,0.0,0,0
70,-0.3550069609763471,Control,0.0,0,0
71,1.6691341313172243,Control,0.0,0,0
72,4.703058589807124,Control,0.0,0,0
73,4.344123131830484,Control,0.0,0,0
74,3.49462896246422,Control,0.0,0,0
75,1.0689747847851427,Control,0.0,0,0
76,-2.8855969748673607,Control,0.0,0,0
77,-5.82698456299659,Control,0.0,0,0
78,-4.446580282662642,Control,0.0,0,0
79,-3.3974927237604526,Control,0.0,0,0
80,0.2179200085780356,Control,0.0,0,0
81,2.9540316026653892,Control,0.0,0,0
82,4.848304919370934,Control,0.0,0,0
83,4.456747865171563,Control,0.0,0,0
84,3.3248809690475998,Control,0.0,0,0
85,-0.49563334607303344,Control,0.0,0,0
86,-2.7962484087995545,Control,0.0,0,0
87,-4.079574252325891,Control,0.0,0,0
88,-4.630342672235816,Control,0.0,0,0
89,-2.834608008820922,Control,0.0,0,0
90,0.044808902097742964,Control,0.0,0,0
91,3.4279738978693177,Control,0.0,0,0
92,4.514108646612199,Control,0.0,0,0
93,5.293059539693445,Control,0.0,0,0
94,1.9683333939028667,Control,0.0,0,0
95,-0.7310452878478891,Control,0.0,0,0
96,-3.731178833768295,Control,0.0,0,0
97,-3.33025336945132,Control,0.0,0,0
98,-4.817124625209607,Control,0.0,0,0
99,-3.8657136961319845,Control,0.0,0,0
100,-0.5217146482702303,Control,0.0,0,0
101,2.4245729723612124,Control,0.0,0,0
102,4.736682176031404,Control,0.0,0,0
103,4.1582232177581036,Control,0.0,0,0
104,2.967503491623383,Control,0.0,0,0
105,0.8594807795715311,Control,0.0,0,0
106,-2.0615326107224714,Control,0.0,0,0
107,-4.523907122823324,Control,0.0,0,0
108,-4.417615724440591,Control,0.0,0,0
109,-3.1367708865123562,Control,0.0,0,0
110,-0.5708395658232561,Control,0.0,0,0
111,3.351831253635119,Control,0.0,0,0
112,4.9712164612987175,Control,0.0,0,0
113,5.480089442902164,Control,0.0,0,0
114,2.9741472373508455,Control,0.0,0,0
115,0.20968048882352414,Control,0.0,0,0
116,-2.9041365442491784,Control,0.0,0,0
117,-5.082202881120393,Control,0.0,0,0
118,-5.061916570013136,Control,0.0,0,0
119,-2.3741410123472035,Control,0.0,0,0
120,0.05258315624567856,Control,0.0,0,0
121,3.1972647077727805,Control,0.0,0,0
122,4.7308626774258675,Control,0.0,0,0
123,5.025151172847838,Control,0.0,0,0
124,2.6905363590427838,Control,0.0,0,0
125,0.05848674137099213,Control,0.0,0,0
126,-1.6893949124328598,Control,0.0,0,0
127,-4.7027457252775715,Control,0.0,0,0
128,-4.819921192051312,Control,0.0,0,0
129,-3.4926334913396104,Control,0.0,0,0
130,-0.42268770142100814,Control,0.0,0,0
131,2.7615033330621035,Control,0.0,0,0
132,5.05677206556004,Control,0.0,0,0
133,4.513557283079778,Control,0.0,0,0
134,4.150512490477039,Control,0.0,0,0
135,-0.3081717837861835,Control,0.0,0,0
136,-3.5242369349122544,Control,0.0,0,0
137,-4.87035395828457,Control,0.0,0,0
138,-4.22246049054857,Control,0.0,0,0
139,-1.9059268077426967,Control,0.0,0,0
140,0.9049015009402729,Control,0.0,0,0
141,2.7556386115013423,Control,0.0,0,0
142,3.686402634367961,Control,0.0,0,0
143,3.1417397721209643,Control,0.0,0,0
144,2.7980255760037567,Control,0.0,0,0
145,-0.10206006524824808,Control,0.0,0,0
146,-2.5781483422935874,Control,0.0,0,0
147,-3.968463758967805,Control,0.0,0,0
148,-4.547943343018015,Control,0.0,0,0
149,-2.0142519126156797,Control,0.0,0,0
150,-0.4370022835273374,Control,0.0,0,0
151,3.798505692762834,Control,0.0,0,0
152,4.792648812325482,Control,0.0,0,0
153,5.064459460676945,Control,0.0,0,0
154,2.903737456590131,Control,0.0,0,0
155,0.538880376132153,Control,0.0,0,0
156,-2.760759936018709,Control,0.0,0,0
157,-4.0329963216457685,Control,0.0,0,0
158,-5.399925156002736,Control,0.0,0,0
159,-2.6646440301767065,Control,0.0,0,0
160,0.3127948721267478,Control,0.0,0,0
161,2.937287994485685,Control,0.0,0,0
162,5.632956396524925,Control,0.0,0,0
163,4.9962220704515,Control,0.0,0,0
164,2.6960304423454557,Control,0.0,0,0
165,-0.38869974784064226,Control,0.0,0,0
166,-4.815731530378927,Control,0.0,0,0
167,-4.841442283617275,Control,0.0,0,0
168,-4.397043139673585,Control,0.0,0,0
169,-2.6684131384998007,Control,0.0,0,0
170,0.13174151516282637,Control,0.0,0,0
171,3.0260795970252214,Control,0.0,0,0
172,5.121015320107583,Control,0.0,0,0
173,4.219260105548362,Control,0.0,0,0
