time,y,segment_id,phase,trend,baseline
0,-0.04047636424899257,Control,0,0.0,0
1,2.878001243143755,Control,0,0.0,0
2,5.153466225795141,Control,0,0.0,0
3,5.645251421273146,Control,0,0.0,0
4,3.070994157978387,Control,0,0.0,0
5,-0.3900225582398807,Control,0,0.0,0
6,-2.8199124591902347,Control,0,0.0,0
7,-5.262103870033543,Control,0,0.0,0
8,-4.163872562608035,Control,0,0.0,0
9,-2.55024886764557,Control,0,0.0,0
10,0.2112935154104606,Control,0,0.0,0
11,1.7315565856294806,Control,0,0.0,0
12,5.243815244781814,Control,0,0.0,0
13,4.998102218447944,Control,0,0.0,0
14,3.027676337520562,Control,0,0.0,0
15,0.009037447945871507,Control,0,0.0,0
16,-2.9205447957936754,Control,0,0.0,0
17,-5.03326048051977,Control,0,0.0,0
18,-4.10289911062423,Control,0,0.0,0
19,-2.4479573782154653,Control,0,0.0,0
20,-0.04755262084502212,Control,0,0.0,0
21,3.2710583620199505,Control,0,0.0,0
22,4.499014110692271,Control,0,0.0,0
23,3.7778130812327873,Control,0,0.0,0
24,3.6065118966133936,Control,0,0.0,0
25,-0.17546962583259457,Control,0,0.0,0
26,-3.4067837271884156,Control,0,0.0,0
27,-3.7125045562975068,Control,0,0.0,0
28,-4.542524866934292,Control,0,0.0,0
29,-2.576911040666772,Control,0,0.0,0
30,-0.09236171300766217,Control,0,0.0,0
31,3.255329270924437,Control,0,0.0,0
32,4.026588347167536,Control,0,0.0,0
33,5.829473768245752,Control,0,0.0,0
34,3.330314431091246,Control,0,0.0,0
35,0.21879007118051774,Control,0,0.0,0
36,-3.030320632485176,Control,0,0.0,0
37,-3.800282608653319,Control,0,0.0,0
38,-4.873795120947031,Control,0,0.0,0
39,-3.493501217056169,Control,0,0.0,0
40,0.08913230897611742,Control,0,0.0,0
41,2.8981225966568975,Control,0,0.0,0
42,4.777620585166075,Control,0,0.0,0
43,5.201123603877391,Control,0,0.0,0
44,3.3473544965342206,Control,0,0.0,0
45,1.0994255255619576,Control,0,0.0,0
46,-3.0085555368617625,Control,0,0.0,0
47,-4.613212083317763,Control,0,0.0,0
48,-5.168756464698651,Control,0,0.0,0
49,-2.92292801364458,Control,0,0.0,0
50,1.1003940171965696,Control,0,0.0,0
51,2.8962032033978087,Control,0,0.0,0
52,4.825309962420876,Control,0,0.0,0
53,4.887959693117274,Control,0,0.0,0
54,3.4035120378231176,Control,0,0.0,0
55,-0.08961815917755053,Control,0,0.0,0
56,-2.9498404543722723,Control,0,0.0,0
57,-5.519999326067655,Control,0,0.0,0
58,-4.54223134706212,Control,0,0.0,0
59,-1.9499236708189776,Control,0,0.0,0
60,-0.3618203540622614,Control,0,0.0,0
61,2.845566059941511,Control,0,0.0,0
