time,segment_id,frequency,y
0,Control,0.6283185307179586,-0.07547848568595171
1,Control,0.6283185307179586,3.757464298578778
2,Control,0.6283185307179586,4.729455347773392
3,Control,0.6283185307179586,5.144579179999611
4,Control,0.6283185307179586,2.8542098070906294
5,Control,0.6283185307179586,0.1012981310051901
6,Control,0.6283185307179586,-2.4810422485281047
7,Control,0.6283185307179586,-4.891451365773797
8,Control,0.6283185307179586,-5.248107595185067
9,Control,0.6283185307179586,-2.979676633993587
10,Control,0.6283185307179586,0.3223851373567103
11,Control,0.6283185307179586,3.272026516186825
12,Control,0.6283185307179586,4.668389851205355
13,Control,0.6283185307179586,5.57880781752054
14,Control,0.6283185307179586,2.9237730354040274
15,Control,0.6283185307179586,0.07158641944798312
16,Control,0.6283185307179586,-3.231398010921507
17,Control,0.6283185307179586,-3.8654507664254916
18,Control,0.6283185307179586,-4.222061450614862
19,Control,0.6283185307179586,-3.206975113714876
20,Control,0.6283185307179586,-0.5751729627484595
21,Control,0.6283185307179586,3.20694608570167
22,Control,0.6283185307179586,4.982283559763883
23,Control,0.6283185307179586,4.272747000124947
24,Control,0.6283185307179586,2.754663780720675
25,Control,0.6283185307179586,-0.7631852617709073
26,Control,0.6283185307179586,-3.226122985484845
27,Control,0.6283185307179586,-5.164593591109263
28,Control,0.6283185307179586,-3.76655759854418
29,Control,0.6283185307179586,-4.172002032280452
30,Control,0.6283185307179586,0.042062264308106063
31,Control,0.6283185307179586,2.7762474067213407
32,Control,0.6283185307179586,5.297491214097401
33,Control,0.6283185307179586,5.212425134346128
34,Control,0.6283185307179586,2.4597365198967225
35,Control,0.6283185307179586,-0.11139039373655048
36,Control,0.6283185307179586,-2.5996589760580178
37,Control,0.6283185307179586,-4.559326692587323
38,Control,0.6283185307179586,-4.864294353972132
39,Control,0.6283185307179586,-2.6166531131793427
40,Control,0.6283185307179586,-0.12143937561777624
41,Control,0.6283185307179586,2.291870268425382
42,Control,0.6283185307179586,4.643325171547543
43,Control,0.6283185307179586,4.936076618389741
44,Control,0.6283185307179586,2.6117061564955435
45,Control,0.6283185307179586,0.12681163491730107
46,Control,0.6283185307179586,-2.886951752103884
47,Control,0.6283185307179586,-3.9353705338621774
48,Control,0.6283185307179586,-5.12313922230379
49,Control,0.6283185307179586,-2.487209733892354
50,Control,0.6283185307179586,0.38475088742965907
51,Control,0.6283185307179586,2.2643498795081425
52,Control,0.6283185307179586,3.910559128518505
53,Control,0.6283185307179586,4.41028706131878
54,Control,0.6283185307179586,2.93152122466747
55,Control,0.6283185307179586,-0.012857039654168236
56,Control,0.6283185307179586,-2.3235021236508224
57,Control,0.6283185307179586,-5.199719952169565
58,Control,0.6283185307179586,-4.248841300982575
59,Control,0.6283185307179586,-3.2963901217862888
60,Control,0.6283185307179586,0.43488092783779203
61,Control,0.6283185307179586,1.9522306313453897
62,Control,0.6283185307179586,5.480487126580901
63,Control,0.6283185307179586,5.275236887582573
64,Control,0.6283185307179586,4.043401503257872
65,Control,0.6283185307179586,-0.28859147203060265
66,Control,0.6283185307179586,-3.848070511371801
67,Control,0.6283185307179586,-4.637688176568111
68,Control,0.6283185307179586,-4.224261960839953
